	17	16	15	14	13	30			layer	steps	multiplier	left corner	right corner		layer	num														
	18	5	4	3	12	29			1	2		5	3		1	1														
	19	6	1	2	11	28			2	4		17	13		2	1														
	20	7	8	9	10	27			3	6	1	37	31		3	2														
	21	22	23	24	25	26			4	8	3	65	57			4														
									5	10	6	101	91			5														
									6	12	10	145	133			10														
	349975	330785	312453	295229	279138	266330	130654		7	14	15	197	183			11														
6591	6444	6155	5733	5336	5022	2450	128204		8	16	21	257	241			23														
13486	147	142	133	122	59	2391	123363		9	18	28	325	307			25														
14267	304	5	4	2	57	2275	116247		10	20	36	401	381			26														
15252	330	10	1	1	54	2105	109476		11	22	45	485	463																	
16295	351	11	23	25	26	1968	103128		12	24	55	577	553																	
17008	362	747	806	880	931	957	98098		13	26	66	677	651																	
17370	35487	37402	39835	42452	45220	47108	48065		14	28	78	785	757																	
									15	30	91	901	871																	
									16	32	105	1025	993																	
									17	34	120	1157	1123																	
									18	36	136	1297	1261																	
									19	38	153	1445	1407																	
									20	40	171	1601	1561																	
									21	42	190	1765	1723																	
									22	44	210	1937	1893																	
									23	46	231	2117	2071																	
									24	48	253	2305	2257																	
									25	50	276	2501	2451																	
									26	52	300	2705	2653																	
									27	54	325	2917	2863																	
									28	56	351	3137	3081																	
									29	58	378	3365	3307																	
									30	60	406	3601	3541																	
									31	62	435	3845	3783																	
									32	64	465	4097	4033																	
									33	66	496	4357	4291																	
									34	68	528	4625	4557																	
									35	70	561	4901	4831																	
									36	72	595	5185	5113																	
									37	74	630	5477	5403																	
									38	76	666	5777	5701																	
									39	78	703	6085	6007																	
									40	80	741	6401	6321																	
									41	82	780	6725	6643																	
									42	84	820	7057	6973																	
									43	86	861	7397	7311																	
									44	88	903	7745	7657																	
									45	90	946	8101	8011																	
									46	92	990	8465	8373																	
									47	94	1035	8837	8743																	
									48	96	1081	9217	9121																	
									49	98	1128	9605	9507																	
									50	100	1176	10001	9901																	
									51	102	1225	10405	10303																	
									52	104	1275	10817	10713																	
									53	106	1326	11237	11131																	
									54	108	1378	11665	11557																	
									55	110	1431	12101	11991																	
									56	112	1485	12545	12433																	
									57	114	1540	12997	12883																	
									58	116	1596	13457	13341																	
									59	118	1653	13925	13807																	
									60	120	1711	14401	14281																	
									61	122	1770	14885	14763																	
									62	124	1830	15377	15253																	
									63	126	1891	15877	15751																	
									64	128	1953	16385	16257																	
									65	130	2016	16901	16771																	
									66	132	2080	17425	17293																	
									67	134	2145	17957	17823																	
									68	136	2211	18497	18361																	
									69	138	2278	19045	18907																	
									70	140	2346	19601	19461																	
									71	142	2415	20165	20023																	
									72	144	2485	20737	20593																	
									73	146	2556	21317	21171																	
									74	148	2628	21905	21757																	
									75	150	2701	22501	22351																	
									76	152	2775	23105	22953																	
									77	154	2850	23717	23563																	
									78	156	2926	24337	24181																	
									79	158	3003	24965	24807																	
									80	160	3081	25601	25441																	
									81	162	3160	26245	26083																	
									82	164	3240	26897	26733																	
									83	166	3321	27557	27391																	
									84	168	3403	28225	28057																	
									85	170	3486	28901	28731																	
									86	172	3570	29585	29413																	
									87	174	3655	30277	30103																	
									88	176	3741	30977	30801																	
									89	178	3828	31685	31507																	
									90	180	3916	32401	32221																	
									91	182	4005	33125	32943																	
									92	184	4095	33857	33673																	
									93	186	4186	34597	34411																	
									94	188	4278	35345	35157																	
									95	190	4371	36101	35911																	
									96	192	4465	36865	36673																	
									97	194	4560	37637	37443																	
									98	196	4656	38417	38221																	
									99	198	4753	39205	39007																	
									100	200	4851	40001	39801																	
									101	202	4950	40805	40603																	
									102	204	5050	41617	41413																	
									103	206	5151	42437	42231																	
									104	208	5253	43265	43057																	
									105	210	5356	44101	43891																	
									106	212	5460	44945	44733																	
									107	214	5565	45797	45583																	
									108	216	5671	46657	46441																	
									109	218	5778	47525	47307																	
									110	220	5886	48401	48181																	
									111	222	5995	49285	49063																	
									112	224	6105	50177	49953																	
									113	226	6216	51077	50851																	
									114	228	6328	51985	51757																	
